#./transfer/case_2_50_10_5_5
set N0 = 0;
set N1 = 1  2  3  5  7  8  9  10  11  12  13  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  33  34  35  36  37  38  39  40  41  42  44  45  ;
set N2 = 14  4  6  43  32  46  47  50  49  48  ;
set Shared1:= 14  4  6  43  32  ;
set Shared2:= 46  47  50  49  48  ;
set Shared_Visited:= (14,46),(4,47),(6,50),(43,49),(32,48),;
param kn:= 10;
param dn:= 3;
param T:= 651;
param s_id:	1	2	3	:=
0	0	0	0	
1	90	90	90	
2	32	32	32	
3	57	57	57	
4	68	68	68	
5	134	134	134	
6	81	81	81	
7	81	81	81	
8	20	20	20	
9	76	76	76	
10	70	70	70	
11	115	115	115	
12	38	38	38	
13	59	59	59	
14	93	93	93	
15	117	117	117	
16	62	62	62	
17	79	79	79	
18	41	41	41	
19	75	75	75	
20	58	58	58	
21	50	50	50	
22	109	109	109	
23	54	54	54	
24	56	56	56	
25	69	69	69	
26	90	90	90	
27	69	69	69	
28	146	146	146	
29	82	82	82	
30	105	105	105	
31	73	73	73	
32	80	80	80	
33	41	41	41	
34	46	46	46	
35	112	112	112	
36	84	84	84	
37	58	58	58	
38	86	86	86	
39	13	13	13	
40	88	88	88	
41	74	74	74	
42	68	68	68	
43	48	48	48	
44	38	38	38	
45	94	94	94	
46	93	93	93	
47	68	68	68	
48	80	80	80	
49	48	48	48	
50	81	81	81	
;
param t_ij:  0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	:=
0	0	15	22	17	19	20	9	8	29	3	17	21	17	12	7	22	25	8	10	17	20	20	22	18	11	2	21	17	11	20	21	20	23	24	15	13	22	7	18	12	22	22	18	17	14	17	7	19	23	17	9
1	15	10000	24	30	31	17	9	18	42	17	14	11	24	25	13	32	37	7	6	32	28	18	30	23	25	14	22	9	22	17	7	12	32	36	27	23	31	12	19	26	11	21	4	16	24	12	13	31	32	16	9
2	22	24	10000	20	38	10	26	15	27	23	35	20	7	31	27	41	23	21	22	28	8	9	43	39	22	23	3	32	14	38	27	17	43	23	35	34	42	26	6	22	21	41	24	9	35	14	27	38	43	9	26
3	17	30	20	10000	23	26	25	12	13	16	33	32	14	18	23	27	9	23	25	9	13	24	32	31	8	19	22	33	9	35	35	30	30	7	23	23	30	23	21	6	33	37	32	22	24	26	23	23	30	22	25
4	19	31	38	23	10000	38	23	24	31	17	24	39	32	7	19	5	29	26	27	15	33	37	12	15	17	19	38	29	24	25	38	39	8	27	6	9	9	19	35	18	40	24	35	35	9	36	19	10000	8	35	23
5	20	17	10	26	38	10000	21	16	35	22	30	10	14	32	23	41	31	16	16	32	17	2	41	36	25	21	8	25	18	33	18	7	42	31	35	32	41	23	6	25	11	36	15	4	34	5	23	38	42	4	21
6	9	9	26	25	23	21	10000	15	37	10	10	18	23	17	4	24	33	6	6	25	27	21	22	16	19	7	24	9	18	13	15	18	24	32	18	15	23	4	21	20	18	16	13	19	16	17	4	23	24	19	10000
7	8	18	15	12	24	16	15	10000	24	9	24	21	10	17	14	27	19	12	14	17	12	15	30	26	9	10	15	23	4	27	24	19	29	18	21	20	28	14	12	10	21	30	20	13	21	15	14	24	29	13	15
8	29	42	27	13	31	35	37	24	10000	28	45	43	22	28	35	36	5	35	37	17	19	33	42	42	20	31	30	45	20	47	47	40	39	6	33	34	39	35	30	18	43	49	43	32	35	37	35	31	39	32	37
9	3	17	23	16	17	22	10	9	28	10000	18	23	18	10	7	20	24	11	12	16	21	21	21	17	9	4	23	18	11	20	23	22	21	23	14	11	20	7	19	11	24	22	20	19	13	19	7	17	21	19	10
10	17	14	35	33	24	30	10	24	45	18	10000	25	32	21	11	23	41	15	14	31	36	30	18	11	26	15	34	7	27	4	19	26	22	40	19	16	21	11	30	28	25	7	18	28	16	25	11	24	22	28	10
11	21	11	20	32	39	10	18	21	43	23	25	10000	21	33	21	41	38	14	13	36	25	11	40	33	29	21	17	19	23	28	9	3	42	38	35	32	41	21	14	30	2	32	8	12	33	7	21	39	42	12	18
