#./transfer/case_3_20_4_2_2
set N0 = 0;
set N1 = 2  3  4  6  7  8  9  10  11  12  13  14  15  16  17  18  ;
set N2 = 1  5  19  20  ;
set Shared1:= 1  5  ;
set Shared2:= 19  20  ;
set Shared_Visited:= (1,19),(5,20),;
param kn:= 4;
param dn:= 3;
param T:= 702;
param s_id:	1	2	3	:=
0	0	0	0	
1	58	58	58	
2	98	98	98	
3	99	99	99	
4	58	58	58	
5	93	93	93	
6	101	101	101	
7	74	74	74	
8	121	121	121	
9	88	88	88	
10	65	65	65	
11	94	94	94	
12	69	69	69	
13	105	105	105	
14	112	112	112	
15	49	49	49	
16	78	78	78	
17	85	85	85	
18	61	61	61	
19	58	58	58	
20	93	93	93	
;
param t_ij:  0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	:=
0	0	18	18	23	21	12	14	9	22	9	13	12	15	21	20	24	9	10	22	18	12
1	18	10000	6	19	13	19	12	24	21	26	11	24	20	34	10	37	18	10	13	10000	19
2	18	6	10000	24	18	16	16	22	16	27	8	21	24	31	4	34	16	9	7	6	16
3	23	19	24	10000	7	31	10	31	38	26	26	34	11	44	28	47	29	22	31	19	31
4	21	13	18	7	10000	28	7	29	33	26	21	31	13	41	22	44	26	18	25	13	28
5	12	19	16	31	28	10000	22	9	11	18	9	6	26	15	15	19	3	10	15	19	10000
6	14	12	16	10	7	22	10000	22	28	19	16	24	9	34	19	37	20	12	23	12	22
7	9	24	22	31	29	9	22	10000	20	11	16	5	23	13	22	16	8	14	23	24	9
8	22	21	16	38	33	11	28	20	10000	29	13	15	34	21	13	23	14	17	10	21	11
9	9	26	27	26	26	18	19	11	29	10000	21	16	16	22	28	24	16	18	30	26	18
10	13	11	8	26	21	9	16	16	13	21	10000	14	23	24	8	27	9	5	9	11	9
11	12	24	21	34	31	6	24	5	15	16	14	10000	27	11	20	14	6	14	20	24	6
12	15	20	24	11	13	26	9	23	34	16	23	27	10000	36	27	39	23	19	30	20	26
13	21	34	31	44	41	15	34	13	21	22	24	11	36	10000	29	4	16	25	29	34	15
14	20	10	4	28	22	15	19	22	13	28	8	20	27	29	10000	32	15	11	4	10	15
15	24	37	34	47	44	19	37	16	23	24	27	14	39	4	32	10000	19	28	32	37	19
16	9	18	16	29	26	3	20	8	14	16	9	6	23	16	15	19	10000	9	16	18	3
17	10	10	9	22	18	10	12	14	17	18	5	14	19	25	11	28	9	10000	13	10	10
18	22	13	7	31	25	15	23	23	10	30	9	20	30	29	4	32	16	13	10000	13	15
19	18	10000	6	19	13	19	12	24	21	26	11	24	20	34	10	37	18	10	13	10000	19
20	12	19	16	31	28	10000	22	9	11	18	9	6	26	15	15	19	3	10	15	19	10000
;
param w_id:	1	2	3	:=
1	1	1	0	
2	0	1	0	
3	1	0	1	
4	0	0	1	
5	0	0	1	
6	1	1	1	
7	1	0	1	
8	1	1	1	
9	1	0	1	
10	1	1	1	
11	1	1	0	
12	0	1	1	
13	1	1	1	
14	1	0	1	
15	1	0	1	
16	1	0	1	
17	0	1	1	
18	1	1	0	
19	1	1	0	
20	0	0	1	
;
param e_id:	1	2	3	:=
0	0	0	0	
1	68	68	68	
2	129	129	129	
3	296	296	296	
4	384	384	384	
5	448	448	448	
6	0	0	0	
7	260	260	260	
8	140	140	140	
9	340	340	340	
10	428	428	428	
11	0	0	0	
12	82	82	82	
13	158	158	158	
14	336	336	336	
15	534	534	534	
16	0	0	0	
17	6	6	6	
18	125	125	125	
19	68	68	68	
20	448	448	448	
;
param l_id:	1	2	3	:=
0	702	702	702	
1	208	208	208	
2	261	261	261	
3	417	417	417	
4	451	451	451	
5	580	580	580	
6	92	92	92	
7	328	328	328	
8	261	261	261	
9	410	410	410	
10	553	553	553	
11	108	108	108	
12	205	205	205	
13	299	299	299	
14	458	458	458	
15	703	703	703	
16	80	80	80	
17	190	190	190	
18	236	236	236	
19	208	208	208	
20	580	580	580	
;
param prefer_id:	1	2	3	4	:=
1		6.65068		1.06373		8.11425		-3.50999
2		-6.48049		5.53574		-7.76213		9.26822
3		3.09003		3.18328		8.54971		-5.14163
4		-4.74918		1.5805		2.118		9.99391
5		-8.58108		-0.623234		-5.07899		-9.66004
6		8.13827		-6.02296		9.70738		4.62328
7		-5.36229		2.86454		-5.1719		-6.57126
8		-3.43505		1.12766		2.50871		-8.20911
9		2.49243		-3.79177		-6.06895		3.65571
10		9.45128		-2.11238		-7.15686		2.63386
11		4.12794		-6.82208		-4.58653		7.72331
12		8.31521		9.1462		1.18515		-1.09774
13		5.0535		-6.21806		-2.82056		8.26144
14		-6.06364		-0.167857		-1.9314		2.29511
15		-4.85367		7.61357		1.7957		-5.9551
16		1.30955		-4.86538		-7.21581		-3.92844
17		4.46253		4.3897		-1.58667		-3.67371
18		1.63903		-4.18396		-2.38256		2.31984
19		6.65068		1.06373		8.11425		-3.50999
20		-8.58108		-0.623234		-5.07899		-9.66004
;
