#./transfer/case_1_20_4_2_4
set N0 = 0;
set N1 = 2  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  ;
set N2 = 1  3  19  20  ;
set Shared1:= 1  3  ;
set Shared2:= 19  20  ;
set Shared_Visited:= (1,19),(3,20),;
param kn:= 4;
param dn:= 3;
param T:= 695;
param s_id:	1	2	3	:=
0	0	0	0	
1	139	139	139	
2	37	37	37	
3	32	32	32	
4	102	102	102	
5	72	72	72	
6	75	75	75	
7	49	49	49	
8	98	98	98	
9	107	107	107	
10	37	37	37	
11	25	25	25	
12	88	88	88	
13	47	47	47	
14	118	118	118	
15	131	131	131	
16	63	63	63	
17	52	52	52	
18	69	69	69	
19	139	139	139	
20	32	32	32	
;
param t_ij:  0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	:=
0	0	21	18	20	22	23	7	18	13	18	13	9	11	19	19	19	17	26	13	21	20
1	21	10000	23	3	42	43	23	25	14	4	33	29	29	38	3	39	37	40	24	10000	3
2	18	23	10000	23	35	36	25	35	25	20	23	22	17	35	23	31	24	19	7	23	23
3	20	3	23	10000	40	41	22	23	12	4	32	28	28	36	2	38	36	40	24	3	10000
4	22	42	35	40	10000	2	20	27	31	39	13	14	18	7	39	4	14	29	28	42	40
5	23	43	36	41	2	10000	20	27	32	40	14	15	19	7	40	6	15	30	29	43	41
6	7	23	25	22	20	20	10000	12	12	21	15	10	15	15	21	18	20	31	20	23	22
7	18	25	35	23	27	27	12	10000	13	24	26	22	27	21	23	27	31	43	31	25	23
8	13	14	25	12	31	32	12	13	10000	12	25	20	23	26	11	29	30	37	23	14	12
9	18	4	20	4	39	40	21	24	12	10000	30	26	26	35	3	36	34	36	21	4	4
10	13	33	23	32	13	14	15	26	25	30	10000	5	6	14	31	9	6	19	16	33	32
11	9	29	22	28	14	15	10	22	20	26	5	10000	7	13	27	11	10	22	15	29	28
12	11	29	17	28	18	19	15	27	23	26	6	7	10000	19	27	14	8	16	10	29	28
13	19	38	35	36	7	7	15	21	26	35	14	13	19	10000	35	8	17	32	28	38	36
14	19	3	23	2	39	40	21	23	11	3	31	27	27	35	10000	37	35	39	23	3	2
15	19	39	31	38	4	6	18	27	29	36	9	11	14	8	37	10000	10	25	24	39	38
16	17	37	24	36	14	15	20	31	30	34	6	10	8	17	35	10	10000	16	17	37	36
17	26	40	19	40	29	30	31	43	37	36	19	22	16	32	39	25	16	10000	16	40	40
18	13	24	7	24	28	29	20	31	23	21	16	15	10	28	23	24	17	16	10000	24	24
19	21	10000	23	3	42	43	23	25	14	4	33	29	29	38	3	39	37	40	24	10000	3
20	20	3	23	10000	40	41	22	23	12	4	32	28	28	36	2	38	36	40	24	3	10000
;
param w_id:	1	2	3	:=
1	1	1	1	
2	1	0	1	
3	1	1	0	
4	1	1	0	
5	1	0	1	
6	1	0	0	
7	1	1	1	
8	1	1	0	
9	1	0	1	
10	1	1	0	
11	0	1	1	
12	1	0	1	
13	1	1	1	
14	1	1	1	
15	1	1	0	
16	1	0	1	
17	0	0	1	
18	1	1	0	
19	1	1	1	
20	1	1	0	
;
param e_id:	1	2	3	:=
0	0	0	0	
1	45	45	45	
2	284	284	284	
3	299	299	299	
4	373	373	373	
5	444	444	444	
6	0	0	0	
7	0	0	0	
8	274	274	274	
9	343	343	343	
10	496	496	496	
11	0	0	0	
12	0	0	0	
13	56	56	56	
14	122	122	122	
15	248	248	248	
16	0	0	0	
17	0	0	0	
18	222	222	222	
19	45	45	45	
20	299	299	299	
;
param l_id:	1	2	3	:=
0	695	695	695	
1	313	313	313	
2	439	439	439	
3	497	497	497	
4	674	674	674	
5	684	684	684	
6	138	138	138	
7	183	183	183	
8	575	575	575	
9	558	558	558	
10	784	784	784	
11	139	139	139	
12	140	140	140	
13	309	309	309	
14	398	398	398	
15	533	533	533	
16	152	152	152	
17	179	179	179	
18	459	459	459	
19	313	313	313	
20	497	497	497	
;
param prefer_id:	1	2	3	4	:=
1		8.03426		-5.66262		6.53796		-8.66943
2		-3.38322		-8.96658		8.60788		-7.61551
3		2.1362		-3.52163		7.17625		5.54346
4		-3.88341		-0.4843		-1.54449		1.01122
5		4.55141		0.732955		-3.8707		-6.75281
6		3.12204		-1.4453		-0.539143		-7.97114
7		2.86114		4.4827		-2.79248		-0.14593
8		-8.45702		-1.32223		6.55635		-1.26598
9		-1.32762		-7.93115		5.35733		-5.72057
10		8.49508		-7.46094		1.32516		-4.43543
11		9.8952		9.35611		-5.38767		-1.22033
12		-6.84411		8.64485		8.02778		-4.2758
13		1.60586		3.24896		7.90562		2.32222
14		-9.26638		-3.39987		0.416465		-4.56176
15		2.67353		-5.89075		-2.19109		-9.15483
16		-9.69092		-1.78686		4.93764		0.639912
17		-6.11015		-5.91461		2.29685		4.93139
18		-2.50351		2.47554		0.719842		-3.92663
19		8.03426		-5.66262		6.53796		-8.66943
20		2.1362		-3.52163		7.17625		5.54346
;
