#./transfer/case_4_20_4_2_3
set N0 = 0;
set N1 = 1  2  3  4  5  6  7  8  9  10  11  13  15  16  17  18  ;
set N2 = 12  14  19  20  ;
set Shared1:= 12  14  ;
set Shared2:= 19  20  ;
set Shared_Visited:= (12,19),(14,20),;
param kn:= 4;
param dn:= 3;
param T:= 554;
param s_id:	1	2	3	:=
0	0	0	0	
1	68	68	68	
2	180	180	180	
3	50	50	50	
4	120	120	120	
5	24	24	24	
6	64	64	64	
7	71	71	71	
8	66	66	66	
9	41	41	41	
10	93	93	93	
11	42	42	42	
12	74	74	74	
13	82	82	82	
14	85	85	85	
15	84	84	84	
16	17	17	17	
17	46	46	46	
18	83	83	83	
19	74	74	74	
20	85	85	85	
;
param t_ij:  0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	:=
0	0	21	21	11	15	12	19	25	22	15	20	27	20	11	15	20	23	21	4	20	15
1	21	10000	9	28	13	16	27	45	24	32	41	31	21	31	33	39	44	39	23	21	33
2	21	9	10000	30	19	11	20	44	30	34	40	24	14	30	35	36	43	35	21	14	35
3	11	28	30	10000	17	23	29	23	17	6	16	37	31	12	6	23	21	25	14	31	6
4	15	13	19	17	10000	19	29	38	12	22	32	36	27	24	22	34	36	35	18	27	22
5	12	16	11	23	19	10000	12	33	29	26	30	18	9	20	27	25	32	24	11	9	27
6	19	27	20	29	29	12	10000	31	39	31	31	8	8	22	31	21	31	19	16	8	31
7	25	45	44	23	38	33	31	10000	40	20	8	37	37	15	19	10	3	14	24	37	19
8	22	24	30	17	12	29	39	40	10000	21	33	46	37	28	22	39	38	40	25	37	22
9	15	32	34	6	22	26	31	20	21	10000	12	39	34	11	1	21	17	24	16	34	1
10	20	41	40	16	32	30	31	8	33	12	10000	38	35	11	12	13	6	17	20	35	12
11	27	31	24	37	36	18	8	37	46	39	38	10000	11	29	39	27	37	24	24	11	39
12	20	21	14	31	27	9	8	37	37	34	35	11	10000	26	34	28	36	26	18	10000	34
13	11	31	30	12	24	20	22	15	28	11	11	29	26	10000	11	12	13	13	10	26	11
14	15	33	35	6	22	27	31	19	22	1	12	39	34	11	10000	21	17	24	16	34	10000
15	20	39	36	23	34	25	21	10	39	21	13	27	28	12	21	10000	11	4	18	28	21
16	23	44	43	21	36	32	31	3	38	17	6	37	36	13	17	11	10000	14	22	36	17
17	21	39	35	25	35	24	19	14	40	24	17	24	26	13	24	4	14	10000	18	26	24
18	4	23	21	14	18	11	16	24	25	16	20	24	18	10	16	18	22	18	10000	18	16
19	20	21	14	31	27	9	8	37	37	34	35	11	10000	26	34	28	36	26	18	10000	34
20	15	33	35	6	22	27	31	19	22	1	12	39	34	11	10000	21	17	24	16	34	10000
;
param w_id:	1	2	3	:=
1	1	1	0	
2	1	1	1	
3	0	0	1	
4	1	0	1	
5	1	1	0	
6	1	1	1	
7	1	1	0	
8	1	1	0	
9	1	1	1	
10	0	1	1	
11	1	1	1	
12	1	1	1	
13	1	0	1	
14	0	1	1	
15	0	1	1	
16	1	1	1	
17	0	1	1	
18	0	1	0	
19	1	1	1	
20	0	1	1	
;
param e_id:	1	2	3	:=
0	0	0	0	
1	0	0	0	
2	0	0	0	
3	168	168	168	
4	334	334	334	
5	419	419	419	
6	0	0	0	
7	0	0	0	
8	150	150	150	
9	264	264	264	
10	319	319	319	
11	0	0	0	
12	0	0	0	
13	138	138	138	
14	244	244	244	
15	347	347	347	
16	0	0	0	
17	0	0	0	
18	87	87	87	
19	0	0	0	
20	244	244	244	
;
param l_id:	1	2	3	:=
0	554	554	554	
1	164	164	164	
2	204	204	204	
3	448	448	448	
4	459	459	459	
5	636	636	636	
6	65	65	65	
7	260	260	260	
8	371	371	371	
9	391	391	391	
10	516	516	516	
11	86	86	86	
12	224	224	224	
13	338	338	338	
14	410	410	410	
15	576	576	576	
16	73	73	73	
17	132	132	132	
18	297	297	297	
19	224	224	224	
20	410	410	410	
;
param prefer_id:	1	2	3	4	:=
1		-2.30701		-8.45376		0.703705		-8.09906
2		8.5475		3.53823		-9.74309		-0.670695
3		-8.21899		6.56398		-3.86297		8.25061
4		-4.31381		3.31036		-8.383		-1.99817
5		1.03702		9.87844		-0.712971		-1.74332
6		2.46679		-2.48582		-1.5397		-5.03829
7		-7.94533		4.9545		-7.85922		3.98102
8		-6.74515		5.55603		-2.95024		-3.41601
9		0.995168		-3.95459		-9.39871		-7.39046
10		-5.12531		3.18814		-1.34485		0.12805
11		-8.50266		9.10865		6.44266		7.67843
12		3.91134		9.46388		1.22136		-1.63518
13		-7.83694		0.135426		-2.82149		-0.673575
14		-9.42898		-4.37351		-2.50244		4.38737
15		-3.8727		7.82865		5.91618		-3.49353
16		-1.12495		8.89749		-1.98321		-3.7502
17		5.5139		8.15522		0.466		-1.84221
18		6.49845		-4.63705		4.04154		5.3464
19		3.91134		9.46388		1.22136		-1.63518
20		-9.42898		-4.37351		-2.50244		4.38737
;
