#./transfer/c102
set N0 = 0;
set N1 = 3 4 5;
set N2 = 1 2 6 7;
set Shared1:= 1 2;
set Shared2:= 6 7;
set Shared_Visited:= (1,6),(2,7);
param kn:= 3;
param dn:= 3;
param T:= 100;
param s_id:	1	2	3	:=
0	0	0	0
1	15	15	15	
2	18	18	18	
3	23	23	23	
4	45	45	45	
5	30	30	30		
6	15	15	15
7	18	18	18
;
param t_ij:  0	1	2	3	4	5	6	7	:=
0	0	12.751	3.302	4.6204	2.6174	9.0958	12.751	3.302
1	12.751	0	9.8491	8.2998	10.341	5.2756	0	9.8491
2	3.302	9.8491	0	2.82	0.717	5.809	9.8491	0
3	4.6204	8.2998	2.82	0	2.8158	5.7838	8.2998	2.82
4	2.6174	10.341	0.717	2.8158	0	6.4784	10.341	0.717
5	9.0958	5.2756	5.809	5.7838	6.4784	0	5.2756	5.809
6	12.751	0	9.8491	8.2998	10.341	5.2756	0	9.8491
7	3.302	9.8491	0	2.82	0.717	5.809	9.8491	0
;
param w_id:	1	2	3	:=
1	1	1	1	
2	0	1	0	
3	1	0	1	
4	1	1	0	
5	1	1	0		
6	1	1	1
7	0	1	0	
;
param e_id:	1	2	3	:=
0	0	0	0
1	0	0	0
2	0	0	0
3	0	0	0
4	15	15	15
5	0	0	0
6	0	0	0
7	0	0	0
;
param l_id:	1	2	3	:=
0	100	100	100
1	50	50	50
2	30	30	30
3	95	95	95
4	25	25	25
5	80	80	80
6	50	50	50
7	30	30	30
;
