101
0	40	50	0	0	0	1236
1	45	68	90	10	912	967
2	45	70	90	30	825	870
3	42	66	90	10	65	146
4	42	68	90	10	727	782
5	42	65	90	10	15	67
6	40	69	90	20	621	702
7	40	66	90	20	170	225
8	38	68	90	20	255	324
9	38	70	90	10	534	605
10	35	66	90	10	357	410
11	35	69	90	10	448	505
12	25	85	90	20	652	721
13	22	75	90	30	30	92
14	22	85	90	10	567	620
15	20	80	90	40	384	429
16	20	85	90	40	475	528
17	18	75	90	20	99	148
18	15	75	90	20	179	254
19	15	80	90	10	278	345
20	30	50	90	10	10	73
21	30	52	90	20	914	965
22	28	52	90	20	812	883
23	28	55	90	10	732	777
24	25	50	90	10	65	144
25	25	52	90	40	169	224
26	25	55	90	10	622	701
27	23	52	90	10	261	316
28	23	55	90	20	546	593
29	20	50	90	10	358	405
30	20	55	90	10	449	504
31	10	35	90	20	200	237
32	10	40	90	30	31	100
33	8	40	90	40	87	158
34	8	45	90	20	751	816
35	5	35	90	10	283	344
36	5	45	90	10	665	716
37	2	40	90	20	383	434
38	0	40	90	30	479	522
39	0	45	90	20	567	624
40	35	30	90	10	264	321
41	35	32	90	10	166	235
42	33	32	90	20	68	149
43	33	35	90	10	16	80
44	32	30	90	10	359	412
45	30	30	90	10	541	600
46	30	32	90	30	448	509
47	30	35	90	10	1054	1127
48	28	30	90	10	632	693
49	28	35	90	10	1001	1066
50	26	32	90	10	815	880
51	25	30	90	10	725	786
52	25	35	90	10	912	969
53	44	5	90	20	286	347
54	42	10	90	40	186	257
55	42	15	90	10	95	158
56	40	5	90	30	385	436
57	40	15	90	40	35	87
58	38	5	90	30	471	534
59	38	15	90	10	651	740
60	35	5	90	20	562	629
61	50	30	90	10	531	610
62	50	35	90	20	262	317
63	50	40	90	50	171	218
64	48	30	90	10	632	693
65	48	40	90	10	76	129
66	47	35	90	10	826	875
67	47	40	90	10	12	77
68	45	30	90	10	734	777
69	45	35	90	10	916	969
70	95	30	90	30	387	456
71	95	35	90	20	293	360
72	53	30	90	10	450	505
73	92	30	90	10	478	551
74	53	35	90	50	353	412
75	45	65	90	20	997	1068
76	90	35	90	10	203	260
77	88	30	90	10	574	643
78	88	35	90	20	109	170
79	87	30	90	10	668	731
80	85	25	90	10	769	820
81	85	35	90	30	47	124
82	75	55	90	20	369	420
83	72	55	90	10	265	338
84	70	58	90	20	458	523
85	68	60	90	30	555	612
86	66	55	90	10	173	238
87	65	55	90	20	85	144
88	65	60	90	30	645	708
89	63	58	90	10	737	802
90	60	55	90	10	20	84
91	60	60	90	10	836	889
92	67	85	90	20	368	441
93	65	85	90	40	475	518
94	65	82	90	10	285	336
95	62	80	90	30	196	239
96	60	80	90	10	95	156
97	60	85	90	30	561	622
98	58	75	90	20	30	84
99	55	80	90	10	743	820
100	55	85	90	20	647	726
